timestamp,open,high,low,close
2026-02-19T10:00:00+00:00,1.18036,1.18064,1.17911,1.17911
2026-02-19T11:00:00+00:00,1.17925,1.17938,1.17813,1.17841
2026-02-19T12:00:00+00:00,1.17827,1.17841,1.17716,1.17716
2026-02-19T13:00:00+00:00,1.17730,1.17730,1.17564,1.17675
2026-02-19T14:00:00+00:00,1.17675,1.17675,1.17454,1.17536
2026-02-19T15:00:00+00:00,1.17564,1.17772,1.17564,1.17661
2026-02-19T16:00:00+00:00,1.17661,1.17730,1.17619,1.17633
2026-02-19T17:00:00+00:00,1.17647,1.17716,1.17592,1.17702
2026-02-19T18:00:00+00:00,1.17689,1.17772,1.17689,1.17716
2026-02-19T19:00:00+00:00,1.17730,1.17744,1.17633,1.17661
2026-02-19T20:00:00+00:00,1.17675,1.17716,1.17675,1.17716
2026-02-19T21:00:00+00:00,1.17716,1.17813,1.17716,1.17758
2026-02-19T22:00:00+00:00,1.17730,1.17786,1.17730,1.17744
2026-02-19T23:00:00+00:00,1.17744,1.17799,1.17716,1.17716
2026-02-20T00:00:00+00:00,1.17730,1.17758,1.17702,1.17730
2026-02-20T01:00:00+00:00,1.17730,1.17744,1.17592,1.17619
2026-02-20T02:00:00+00:00,1.17619,1.17619,1.17578,1.17592
2026-02-20T03:00:00+00:00,1.17592,1.17619,1.17592,1.17619
2026-02-20T04:00:00+00:00,1.17619,1.17633,1.17564,1.17564
2026-02-20T05:00:00+00:00,1.17564,1.17592,1.17536,1.17592
2026-02-20T06:00:00+00:00,1.17578,1.17606,1.17550,1.17592
2026-02-20T07:00:00+00:00,1.17606,1.17661,1.17536,1.17550
2026-02-20T08:00:00+00:00,1.17564,1.17675,1.17481,1.17647
2026-02-20T09:00:00+00:00,1.17647,1.17716,1.17633,1.17702
2026-02-20T10:00:00+00:00,1.17689,1.17716,1.17619,1.17661
2026-02-20T11:00:00+00:00,1.17675,1.17730,1.17633,1.17702
2026-02-20T12:00:00+00:00,1.17702,1.17730,1.17675,1.17689
2026-02-20T13:00:00+00:00,1.17689,1.17799,1.17619,1.17702
2026-02-20T14:00:00+00:00,1.17730,1.17730,1.17606,1.17716
2026-02-20T15:00:00+00:00,1.17716,1.18092,1.17606,1.17897
2026-02-20T16:00:00+00:00,1.17925,1.18008,1.17772,1.17827
2026-02-20T17:00:00+00:00,1.17827,1.17883,1.17702,1.17841
2026-02-20T18:00:00+00:00,1.17841,1.18008,1.17813,1.17883
2026-02-20T19:00:00+00:00,1.17897,1.17925,1.17827,1.17841
2026-02-20T20:00:00+00:00,1.17827,1.17911,1.17813,1.17897
2026-02-20T21:00:00+00:00,1.17897,1.17952,1.17855,1.17855
2026-02-20T22:00:00+00:00,1.17855,1.17855,1.17855,1.17855
2026-02-23T00:00:00+00:00,1.18357,1.18371,1.18273,1.18329
2026-02-23T01:00:00+00:00,1.18357,1.18357,1.18245,1.18287
2026-02-23T02:00:00+00:00,1.18301,1.18343,1.18273,1.18301
2026-02-23T03:00:00+00:00,1.18315,1.18315,1.18217,1.18273
2026-02-23T04:00:00+00:00,1.18273,1.18273,1.18217,1.18245
2026-02-23T05:00:00+00:00,1.18245,1.18245,1.18189,1.18245
2026-02-23T06:00:00+00:00,1.18231,1.18371,1.18217,1.18287
2026-02-23T07:00:00+00:00,1.18273,1.18301,1.18231,1.18259
2026-02-23T08:00:00+00:00,1.18273,1.18273,1.18106,1.18161
2026-02-23T09:00:00+00:00,1.18133,1.18161,1.18036,1.18050
2026-02-23T10:00:00+00:00,1.18050,1.18050,1.17994,1.18022
2026-02-23T11:00:00+00:00,1.18022,1.18022,1.17841,1.17897
2026-02-23T12:00:00+00:00,1.17897,1.17897,1.17786,1.17841
2026-02-23T13:00:00+00:00,1.17855,1.18008,1.17841,1.17994
2026-02-23T14:00:00+00:00,1.18008,1.18106,1.17980,1.18092
2026-02-23T15:00:00+00:00,1.18106,1.18133,1.17980,1.17980
2026-02-23T16:00:00+00:00,1.17966,1.18092,1.17925,1.18050
2026-02-23T17:00:00+00:00,1.18078,1.18106,1.17938,1.18022
2026-02-23T18:00:00+00:00,1.18022,1.18036,1.17994,1.18022
2026-02-23T19:00:00+00:00,1.18022,1.18036,1.17925,1.17952
2026-02-23T20:00:00+00:00,1.17952,1.17966,1.17911,1.17925
2026-02-23T21:00:00+00:00,1.17925,1.17952,1.17897,1.17897
2026-02-23T22:00:00+00:00,1.17883,1.17994,1.17855,1.17883
2026-02-23T23:00:00+00:00,1.17911,1.17980,1.17911,1.17966
2026-02-24T00:00:00+00:00,1.17966,1.17994,1.17911,1.17925
2026-02-24T01:00:00+00:00,1.17897,1.17897,1.17758,1.17827
2026-02-24T02:00:00+00:00,1.17855,1.17883,1.17813,1.17869
2026-02-24T03:00:00+00:00,1.17869,1.17883,1.17786,1.17786
2026-02-24T04:00:00+00:00,1.17786,1.17799,1.17716,1.17730
2026-02-24T05:00:00+00:00,1.17730,1.17827,1.17730,1.17827
2026-02-24T06:00:00+00:00,1.17827,1.17855,1.17813,1.17841
2026-02-24T07:00:00+00:00,1.17827,1.17855,1.17744,1.17813
2026-02-24T08:00:00+00:00,1.17827,1.17925,1.17786,1.17897
2026-02-24T09:00:00+00:00,1.17869,1.17966,1.17869,1.17925
2026-02-24T10:00:00+00:00,1.17911,1.17938,1.17869,1.17897
2026-02-24T11:00:00+00:00,1.17897,1.17897,1.17827,1.17841
2026-02-24T12:00:00+00:00,1.17841,1.17855,1.17772,1.17841
2026-02-24T13:00:00+00:00,1.17841,1.17841,1.17716,1.17758
2026-02-24T14:00:00+00:00,1.17758,1.17813,1.17716,1.17786
2026-02-24T15:00:00+00:00,1.17758,1.17841,1.17702,1.17758
2026-02-24T16:00:00+00:00,1.17758,1.17938,1.17758,1.17911
2026-02-24T17:00:00+00:00,1.17925,1.17925,1.17855,1.17897
2026-02-24T18:00:00+00:00,1.17897,1.17911,1.17813,1.17813
2026-02-24T19:00:00+00:00,1.17827,1.17869,1.17799,1.17827
2026-02-24T20:00:00+00:00,1.17827,1.17869,1.17799,1.17799
2026-02-24T21:00:00+00:00,1.17786,1.17799,1.17772,1.17772
2026-02-24T22:00:00+00:00,1.17744,1.17813,1.17730,1.17786
2026-02-24T23:00:00+00:00,1.17772,1.17799,1.17772,1.17772
2026-02-25T00:00:00+00:00,1.17786,1.17827,1.17772,1.17827
2026-02-25T01:00:00+00:00,1.17813,1.17855,1.17799,1.17813
2026-02-25T02:00:00+00:00,1.17813,1.17966,1.17813,1.17938
2026-02-25T03:00:00+00:00,1.17966,1.17966,1.17897,1.17938
2026-02-25T04:00:00+00:00,1.17925,1.17994,1.17925,1.17980
2026-02-25T05:00:00+00:00,1.17994,1.18092,1.17994,1.18050
2026-02-25T06:00:00+00:00,1.18050,1.18092,1.18022,1.18092
2026-02-25T07:00:00+00:00,1.18092,1.18106,1.18022,1.18022
2026-02-25T08:00:00+00:00,1.18008,1.18036,1.17938,1.17952
2026-02-25T09:00:00+00:00,1.17925,1.17966,1.17897,1.17925
2026-02-25T10:00:00+00:00,1.17911,1.17911,1.17841,1.17841
2026-02-25T11:00:00+00:00,1.17813,1.17841,1.17744,1.17772
2026-02-25T12:00:00+00:00,1.17786,1.17897,1.17786,1.17897
2026-02-25T13:00:00+00:00,1.17897,1.17938,1.17772,1.17772
2026-02-25T14:00:00+00:00,1.17786,1.17925,1.17772,1.17925
2026-02-25T15:00:00+00:00,1.17897,1.18036,1.17883,1.18022
2026-02-25T16:00:00+00:00,1.18050,1.18106,1.18022,1.18078
2026-02-25T17:00:00+00:00,1.18078,1.18175,1.18064,1.18106
2026-02-25T18:00:00+00:00,1.18120,1.18147,1.18078,1.18078
2026-02-25T19:00:00+00:00,1.18078,1.18133,1.18064,1.18106
2026-02-25T20:00:00+00:00,1.18092,1.18120,1.18092,1.18092
2026-02-25T21:00:00+00:00,1.18092,1.18161,1.18064,1.18133
2026-02-25T22:00:00+00:00,1.18161,1.18175,1.18092,1.18147
2026-02-25T23:00:00+00:00,1.18161,1.18189,1.18147,1.18189
2026-02-26T00:00:00+00:00,1.18189,1.18231,1.18161,1.18203
2026-02-26T01:00:00+00:00,1.18217,1.18329,1.18217,1.18315
2026-02-26T02:00:00+00:00,1.18315,1.18315,1.18175,1.18217
